initial_payment,car,price,months_term,miles_per_annum
"£2,915.91 ex VAT",Audi A3 Hatchback S3 TFSI Quattro Black Edition 5dr S Tronic [2018],£323.99,48,"5,000"
"£2,915.91 ex VAT",Mercedes-Benz Glc Estate GLC 220d 4Matic AMG Line Prem Plus 5dr 9G-Tronic [2019],£323.99,48,"5,000"
"£2,915.91 ex VAT",Volvo Xc90 Suv 2.0 D5 PowerPulse Inscription 5dr AWD Geartronic [2019],£323.99,48,"5,000"
"£2,924.91 ex VAT",Audi A5 Hatchback 2.0 TFSI Quattro S Line 5dr S Tronic [2018],£324.99,24,"5,000"
"£2,924.91 ex VAT",Land Rover Discovery Sport Suv 2.0 TD4 180 SE 5dr [2019],£324.99,48,"5,000"
"£2,933.91 ex VAT",Land Rover Range Rover Velar Estate 2.0 D180 SE 5dr Auto [2019],£325.99,48,"5,000"
"£2,942.91 ex VAT",Audi A5 Convertible 2.0 TDI Sport 2dr S Tronic [2018],£326.99,48,"5,000"
"£2,942.91 ex VAT",Audi A5 Hatchback 3.0 TDI 218 Quattro Sport 5dr S Tronic [2018],£326.99,48,"5,000"
"£2,942.91 ex VAT",Mitsubishi Shogun Suv 3.2 DI-DC [187] SG2 5dr Auto [2017],£326.99,48,"5,000"
"£2,942.91 ex VAT",Volvo Xc90 Suv 2.0 D5 PowerPulse R DESIGN 5dr AWD Geartronic [2019],£326.99,48,"5,000"
"£2,951.91 ex VAT",BMW X4 Estate xDrive20d Sport 5dr Step Auto [2019],£327.99,48,"5,000"
"£2,951.91 ex VAT",Lexus Nx Estate 300h 2.5 F-Sport 5dr CVT [Premium Nav] [2018.5],£327.99,48,"8,000"
"£2,960.91 ex VAT",Audi A3 Hatchback S3 TFSI Quattro 5dr S Tronic [Tech Pack] [2018],£328.99,48,"5,000"
"£2,960.91 ex VAT",Audi A5 Coupe 2.0 TFSI 252 Quattro S Line 2dr S Tronic [2018],£328.99,48,"5,000"
"£2,960.91 ex VAT",Mercedes-Benz Glc Coupe Coupe GLC 220d 4Matic Sport 5dr 9G-Tronic [2019],£328.99,48,"5,000"
"£2,960.91 ex VAT",Volvo Xc90 Suv 2.0 D5 PowerPulse Momentum Pro 5dr AWD Geartronic [2019],£328.99,48,"5,000"
"£2,960.91 ex VAT",Jaguar F-pace Estate 2.0d R-Sport 5dr Auto [2018],£328.99,48,"5,000"
